ANT415Y1-Y|LEC0101|Friesen, M.|AP 430;AP 430$14:00~17:00!###!###!###!###
ANT425H1-F|LEC0101|Yeung, S.|###!###!###!KP 113$12:00~14:00!###
ANT426H1-F|LEC0101|Kalmar, I.|###!###!NF 205$10:00~12:00!###!###
ANT430H1-F|LEC0101|Lehman, S.|###!UC F204$12:00~14:00!###!###!###
ANT431H1-F|LEC0101|Begun, D.|###!AP 130$10:00~12:00!###!###!###
ANT434H1-S|LEC0101|Cameron, M.|###!AP 130$10:00~12:00!###!###!###
ANT435H1-S|LEC0101|Sellen, D.|###!###!###!ES 1042$12:00~14:00!###
ANT436H1-S|LEC0101|Lehman, S.|###!OI 2281$12:00~14:00!###!###!###
ANT437H1-F|LEC0101|Komza, K.|###!###!AP 130$10:00~12:00!###!###
ANT450H1-F|LEC0101|Cunningham, H.|NA$14:00~16:00!###!###!###!###
ANT455H1-F|LEC0101|Kassamali, S.|AP 124$12:00~14:00!###!###!###!###
ANT458H1-F|LEC0101|Maxwell, K.|###!###!NA$14:00~16:00!###!###
ANT459H1-F|LEC0101|Cunningham, H.|###!NA$14:00~16:00!###!###!###
ANT460H1-S|LEC5101|Wardlow, H.|###!###!###!SK 346$18:00~20:00!###
ANT462H1-F|LEC0101|Napolitano, V.|HS 618$16:00~18:00!###!###!###!###
ANT475H1-S|LEC0101|Ozcan, O.|###!###!BA B025$12:00~14:00!###!###
ANT477H1-F|LEC0101|NA|###!###!###!###!###
ANT480H1-F|LEC0101|Elamin, N.|###!###!###!OI 5170$12:00~14:00!###
ANT480H1-S|LEC0101|Taylor, J.|###!WI 2006$14:00~16:00!###!###!###
ANT481H1-F|LEC0101|NA|###!###!###!###!###
ANT484H1-F|LEC0101|Ozcan, O.|###!AP 124$12:00~14:00!###!###!###
ANT484H1-S|LEC0101|Dave, N.|###!UC 69$16:00~18:00!###!###!###
ANT485H1-S|LEC0101|Brunson, W.|###!###!AP 124$10:00~12:00!###!###
ANT486H1-F|LEC0101|NA|###!###!###!###!###
ANT486H1-S|LEC0101|Sammons, E.|###!UC 257$12:00~14:00!###!###!###
ANT488H1-S|LEC0101|Chadha, A.|###!###!###!AP 124$16:00~18:00!###
ANT491H1-F|LEC0101|NA|###!###!###!###!###
ANT491H1-S|LEC0101|NA|###!###!###!###!###
ANT491Y1-Y|LEC0101|NA|###!###!###!###!###
ANT497Y1-F|LEC0101|NA|###!###!###!###!###
ANT497Y1-S|LEC0101|NA|###!###!###!###!###
ANT497Y1-Y|LEC0101|NA|###!###!###!###!###
ANT498H1-F|LEC0101|NA|###!###!###!###!###
ANT498H1-S|LEC0101|NA|###!###!###!###!###
ANT498H1-Y|LEC0101|NA|###!###!###!###!###
ANT499H1-F|LEC0101|NA|###!###!###!###!###
ANT499H1-S|LEC0101|NA|###!###!###!###!###
ANT499H1-Y|LEC0101|NA|###!###!###!###!###
APM236H1-F|LEC0101|Korman, J.|MP 102$12:00~13:00!###!MP 102$12:00~13:00!###!MP 102$12:00~13:00
APM236H1-F|LEC5101|Korman, J.|###!###!###!BA 1130$18:00~21:00!###
APM236H1-S|LEC0101|Korman, J.|ES 1050$11:00~12:00!###!###!###!ES 1050$11:00~13:00
APM306Y1-Y|LEC0101|Derzko, N.|###!HA 410;HA 401$10:00~13:00!###!###!###
APM306Y1-Y|LEC5101|Derzko, N.|###!###!BA 1220;BA 1220$18:00~21:00!###!###
APM346H1-F|LEC0101|Jie, X.|BA 1160$14:00~16:00!###!###!MS 3153$15:00~16:00!###
APM346H1-S|LEC0101|Ivrii, V.|SF 1101$13:00~15:00!###!###!SF 1101$13:00~14:00!###
APM346H1-S|LEC5101|Sigal, I.|BA 1160$17:00~19:00!###!###!BA 1160$17:00~18:00!###
APM348H1-S|LEC0101|Stinchcombe, A.|WB 119$13:00~14:00!###!WB 119$13:00~14:00!###!WI 524$13:00~14:00
